"Year","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","MS","MT","NC","NE","NH","NJ","NM","NV","NY","OH","OK","OR","PA","RI","SC","TN","TX","UT","VA","VT","WA","WI","WV","WY"
1996,NA,87737.037037037,71063.3333333333,89241.8803418803,146403.623188406,124253.140096618,135437.5,NA,104494.444444444,82543.9646831156,86629.5726495727,196841.666666667,80447.7777777778,114498.148148148,103835.67251462,73575.845410628,75480.5555555556,89887.5,74355.5555555556,136036.752136752,120184.848484848,89633.3333333333,93803.1227305737,106537.037037037,76443.0555555556,69675.2136752137,NA,90026.8733850129,76187.5,90514.4444444444,138709.444444444,110559.259259259,121176.19047619,93638.813303099,89235.8974358974,55478.6324786325,116767.171717172,90653.3656672546,123946.666666667,79640.7407407407,65523.1884057971,74072.6748393415,141018.518518519,118718.888888889,NA,120336.231884058,93305.8574879227,48933.3333333333,NA
1997,NA,89784.2592592593,72780.8333333333,89635.6227106227,149737.727412889,136239.275981667,136557.291666667,NA,105487.5,84240.5768813706,89415.9529276693,190350,84537.5,116619.444444444,105644.759757183,76765.0655624569,78668.75,92026.5046296296,80085.4166666667,141533.974358974,121524.242424242,94091.6666666667,96282.8042328042,110989.583333333,84502.2916666667,71370.5128205128,NA,94280.0861326443,76931.25,92723.3333333333,139318.75,105402.777777778,121986.904761905,94609.0816993464,91892.0138888889,55165.4273504274,121184.090909091,90203.8690476191,124180,82959.3518518519,67859.7373188406,81180.5354691075,149015.277777778,120373.231707317,NA,122632.412439614,99421.1388888889,51004.1666666667,NA
1998,188127.777777778,94242.5925925926,75180.8333333333,93459.5238095238,164280.266342892,144112.345679012,142794.791666667,128716.666666667,106916.666666667,88257.0402298851,94046.8155545801,185752.083333333,87760,115720.833333333,106601,80401.4285714286,84937.5,92603.7037037037,89265.4166666667,152394.871794872,125248.106060606,98150,103142.063492063,117086.111111111,91168.8636363636,76714.1025641026,105963.888888889,100785.495169082,79798.9583333333,98940.8333333333,144173.333333333,113438.888888889,125729.761904762,97053.1045751634,95347.9166666667,57680.5555555556,125353.03030303,91436.3440860215,128436.666666667,87862.9166666667,72204.9768518519,84543.7712418301,156481.944444444,123244.715447154,146300,126786.111111111,105399.666666667,52256.25,NA
1999,178369.444444444,99595.3703703704,77798.3333333333,98348.2142857143,175438.888888889,157196.604938272,152622.916666667,133466.666666667,112495.833333333,92915.0862068965,100057.598039216,191227.083333333,92322.5,113415.277777778,112292.333333333,82950.5952380952,91537.5,95883.3333333333,99038.0952380952,169135.256410256,129980.681818182,112625,110607.53968254,128384.027777778,96131.0606060606,79717.9487179487,110537.5,106040.760869565,84635.4166666667,106286.666666667,153480.416666667,121075,131311.904761905,102796.405228758,99783.9583333333,59815,129184.090909091,94708.2073252688,137583.333333333,93694.5833333333,75780.395421106,89726.6339869281,165844.444444444,129663.211382114,142466.666666667,133325.347222222,110643.333333333,54652.0833333333,98666.6666666667
2000,181608.333333333,101490.740740741,79645.8333333333,103875,204474.479166667,173901.851851852,165113.541666667,145708.333333333,116516.666666667,98808.7643678161,105840.441176471,204581.25,98882.0454545455,116463.888888889,117927.333333333,86151.6666666667,98960.4166666667,100083.333333333,101490.476190476,195641.025641026,136401.515151515,120600,118406.349206349,142798.611111111,104049.242424242,80869.2307692308,112613.888888889,110207.246376812,88555.2083333333,118295,167444.583333333,124322.222222222,137603.571428571,111702.614379085,103828.541666667,61888.8888888889,132745.075757576,98085.4166666667,154013.333333333,100294.166666667,77634.3607305936,93733.0065359477,173373.611111111,137798.37398374,150950,139834.027777778,114251.333333333,55527.0833333333,105629.166666667
2001,175266.666666667,104041.666666667,82011.6666666667,109083.928571429,232048.611111111,187472.530864198,180507.291666667,166316.666666667,122812.5,106399.425287356,111218.75,218445.833333333,102612.121212121,124008.333333333,124245.333333333,92282.9979879276,117555.416666667,103765.740740741,102427.380952381,222848.076923077,147298.106060606,129291.666666667,125352.777777778,159005.555555556,111874.242424242,83704.4871794872,117258.333333333,114835.555555556,92147.9166666667,135038.333333333,185332.083333333,129741.666666667,147014.285714286,122811.274509804,107190.625,64846.1111111111,136492.045454545,102918.75,174425,104222.5,79179.4520547945,95984.9673202615,181731.944444444,151658.536585366,170458.333333333,144986.111111111,120871.666666667,55683.3333333333,112475
2002,172266.666666667,105767.592592593,84816.6666666667,114857.142857143,255258.680555556,211916.173675728,200312.5,202508.333333333,132325,117123.275862069,116047.916666667,244172.916666667,106680.303030303,128961.111111111,131308,94122.6525821596,123436.666666667,104959.259259259,103902.380952381,255074.358974359,163092.803030303,141058.333333333,131099.206349206,175097.222222222,117303.787878788,84985.2564102564,125762.5,117357.427536232,95316.6666666667,152475,209578.75,137302.777777778,158947.619047619,133582.11098542,110783.958333333,66306.6666666667,142765.909090909,109266.927083333,209248.333333333,108414.166666667,81710.9589041096,99323.3660130719,184348.611111111,169293.902439024,182033.333333333,151111.805555556,126256,57566.6666666667,116483.333333333
2003,180572.222222222,106949.074074074,88747.5,122709.523809524,292644.965277778,214465.229885057,224482.291666667,252533.333333333,144137.5,130833.908045977,121120.955882353,291502.083333333,110519.696969697,133061.111111111,138882.333333333,95647.4178403756,126615,109833.333333333,109063.095238095,287024.358974359,187353.787878788,160125,134798.786780852,190728.472222222,123906.818181818,88814.1025641026,133723.611111111,121504.166666667,96109.375,176542.5,241874.583333333,146763.888888889,179651.190476191,147066.35043183,114468.75,66939.4444444445,152770.833333333,117422.411616162,254483.333333333,112448.333333333,84283.4474885845,102543.464052288,186436.111111111,190624.390243902,210458.333333333,160946.875,132146.666666667,60722.9166666667,124895.833333333
2004,201550,110099.074074074,94421.6666666667,135816.666666667,352844.533021542,226043.103448276,251627.083333333,309966.666666667,162862.5,155288.505747126,127428.150753055,380125,114850.757575758,136654.166666667,147554.666666667,103890.647822118,131118.333333333,114557.407407407,115571.031746032,318039.102564103,221605.303030303,183816.666666667,138727.898550725,204687.5,125457.692307692,91682.0512820513,151427.777777778,127617.568609312,99080.2083333333,198138.333333333,277386.666666667,151963.888888889,225301.190476191,167046.96969697,119337.723577236,69922.7777777778,168109.090909091,128165.404040404,296450,118192.916666667,88538.2420091324,107801.470588235,189081.944444444,224388.821138211,212977.777777778,174898.263888889,139791.448717949,64404.1666666667,137391.666666667
2005,227683.333333333,121632.222222222,100425,172125,424999.149659864,245775.287356322,282100,374058.333333333,189237.5,199356.896551724,135961.594202899,484145.833333333,118299.116161616,149644.444444444,157931,111036.659690512,135536.666666667,118079.62962963,123174.074074074,343089.102564103,269007.196969697,201533.333333333,142207.971014493,217507.638888889,130748.076923077,96255.1282051282,169398.611111111,136568.971631206,101906.25,217890,319133.333333333,156833.333333333,286642.857142857,179301.666666667,123242.886178862,73248.3333333333,196727.651515152,141119.518716578,330258.333333333,129429.166666667,94545.4337899543,113593.020990447,211934.722222222,274036.991869919,252151.666666667,201751.736111111,147019.871794872,69506.25,151420.833333333
