"","time","house","sp"
"1","1996/4",258700,661.644989
"2","1996/5",259200,669.875
"3","1996/6",259400,655.2900085
"4","1996/7",260000,645.970001
"5","1996/8",261100,669.6600035
"6","1996/9",261900,696.3000185
"7","1996/10",262300,731.14502
"8","1996/11",263500,748.880005
"9","1996/12",265500,763.4499815
"10","1997/1",267900,788.48999
"11","1997/2",271000,773.970001
"12","1997/3",273900,779.230011
"13","1997/4",277000,824.810028
"14","1997/5",279800,866.710022
"15","1997/6",282500,919.7250065
"16","1997/7",285500,926.8899845
"17","1997/8",288900,923.375
"18","1997/9",291400,930.950012
"19","1997/10",293800,935.0100095
"20","1997/11",297000,962.9150085
"21","1997/12",300600,975.355011
"22","1998/1",304600,1014.8099975
"23","1998/2",308900,1075.544983
"24","1998/3",313300,1106.75
"25","1998/4",317200,1101.284973
"26","1998/5",320500,1112.329956
"27","1998/6",323300,1127.255005
"28","1998/7",327100,1038.9750365
"29","1998/8",331300,987.1450195
"30","1998/9",334800,1057.840027
"31","1998/10",337900,1131.1500245
"32","1998/11",341300,1196.4299925
"33","1998/12",344800,1254.4349975
"34","1999/1",348000,1258.9849855
"35","1999/2",350000,1262.3499755
"36","1999/3",351200,1310.7750245
"37","1999/4",353100,1318.51001
"38","1999/5",356900,1337.2749635
"39","1999/6",362200,1350.714966
"40","1999/7",368100,1324.5650025
"41","1999/8",374400,1301.5599975
"42","1999/9",382100,1322.8200075
"43","1999/10",391000,1375.920044
"44","1999/11",401000,1429.080017
"45","1999/12",411800,1431.8549805
"46","2000/1",423300,1380.4400025
"47","2000/2",434300,1432.5
"48","2000/3",445300,1475.505005
"49","2000/4",456400,1436.515015
"50","2000/5",467800,1437.599976
"51","2000/6",477200,1442.714966
"52","2000/7",483100,1474.255005
"53","2000/8",486700,1477.095032
"54","2000/9",491400,1432.955017
"55","2000/10",496300,1372.1749875
"56","2000/11",500200,1317.61499
"57","2000/12",503000,1343.1450195
"58","2001/1",503100,1302.9749755
"59","2001/2",503000,1200.1349485
"60","2001/3",505400,1204.8949585
"61","2001/4",507600,1252.6399535
"62","2001/5",506200,1240.0999755
"63","2001/6",506100,1217.8049925
"64","2001/7",508700,1172.404968
"65","2001/8",512400,1087.2599485
"66","2001/9",516300,1050.359985
"67","2001/10",518300,1099.61499
"68","2001/11",516400,1143.7649535
"69","2001/12",514100,1139.1399535
"70","2002/1",515100,1118.4649655
"71","2002/2",516900,1127.0599975
"72","2002/3",517000,1112.1550295
"73","2002/4",519300,1072.0300295
"74","2002/5",527500,1028.480011
"75","2002/6",538000,950.720001
"76","2002/7",547200,913.845001
"77","2002/8",554800,865.675018
"78","2002/9",560300,850.5200195
"79","2002/10",563500,911.035004
"80","2002/11",566400,908.0650025
"81","2002/12",568300,867.7600095
"82","2003/1",568600,848.425018
"83","2003/2",568600,844.6650085
"84","2003/3",568200,882.549988
"85","2003/4",567900,940.255005
"86","2003/5",569300,969.0450135
"87","2003/6",573000,982.404999
"88","2003/7",577400,999.160004
"89","2003/8",582000,1001.9899905
"90","2003/9",585500,1023.339966
"91","2003/10",590800,1054.454956
"92","2003/11",600700,1085.0599975
"93","2003/12",613800,1121.5250245
"94","2004/1",625800,1138.034973
"95","2004/2",637900,1135.574951
"96","2004/3",651200,1116.755005
"97","2004/4",663700,1113.9900515
"98","2004/5",670900,1130.76001
"99","2004/6",673000,1121.2799685
"100","2004/7",674600,1102.9799805
"101","2004/8",677900,1109.409973
"102","2004/9",683700,1122.3899535
"103","2004/10",692600,1152.0099485
"104","2004/11",702500,1192.869995
"105","2004/12",712100,1196.595032
"106","2005/1",724000,1192.434998
"107","2005/2",738600,1192.094971
"108","2005/3",752600,1168.719971
"109","2005/4",761300,1174.174988
"110","2005/5",765400,1191.414978
"111","2005/6",769900,1212.755005
"112","2005/7",776100,1227.255005
"113","2005/8",780900,1224.5700075
"114","2005/9",785300,1217.9100345
"115","2005/10",788900,1228.244995
"116","2005/11",789400,1248.8850095
"117","2005/12",788400,1264.1849975
"118","2006/1",786700,1280.369995
"119","2006/2",782600,1287.7650145
"120","2006/3",778000,1302.73999
"121","2006/4",777400,1290.3499755
"122","2006/5",778800,1270.1449585
"123","2006/6",778800,1273.4299925
"124","2006/7",777100,1290.23999
"125","2006/8",776500,1319.834961
"126","2006/9",775900,1356.8949585
"127","2006/10",773900,1389.284973
"128","2006/11",770500,1409.465027
"129","2006/12",769300,1428.2700195
"130","2007/1",772100,1422.529968
"131","2007/2",778300,1413.8399655
"132","2007/3",786200,1451.61499
"133","2007/4",794900,1506.494995
"134","2007/5",803600,1516.9849855
"135","2007/6",811300,1479.309998
"136","2007/7",817900,1464.630005
"137","2007/8",822700,1500.369995
"138","2007/9",826000,1538.0650025
"139","2007/10",826000,1515.26001
"140","2007/11",822300,1474.75
"141","2007/12",816000,1423.455017
"142","2008/1",810800,1354.590027
"143","2008/2",805000,1326.664978
"144","2008/3",797500,1354.1449585
"145","2008/4",789900,1392.9849855
"146","2008/5",782500,1340.1900025
"147","2008/6",772100,1273.6900025
"148","2008/7",761300,1275.1049805
"149","2008/8",752000,1224.5949705
"150","2008/9",744300,1067.5549925
"151","2008/10",740500,932.494995
"152","2008/11",741700,899.744995
"153","2008/12",739600,864.5650025
"154","2009/1",731100,780.485016
"155","2009/2",722500,766.480011
"156","2009/3",715800,835.3399965
"157","2009/4",708100,895.9750065
"158","2009/5",701200,919.230011
"159","2009/6",697600,953.3999935
"160","2009/7",696300,1004.0499875
"161","2009/8",695900,1038.8499755
"162","2009/9",695300,1046.6349485
"163","2009/10",694900,1065.909973
"164","2009/11",696000,1105.3649905
"165","2009/12",698600,1094.4849855
"166","2010/1",702400,1089.1799925
"167","2010/2",706000,1136.960022
"168","2010/3",706200,1178.0599975
"169","2010/4",703800,1138.0499875
"170","2010/5",702700,1060.0599975
"171","2010/6",702700,1066.1549685
"172","2010/7",700700,1075.464966
"173","2010/8",698300,1095.2649535
"174","2010/9",697300,1162.2299805
"175","2010/10",696400,1181.9050295
"176","2010/11",694400,1219.095032
"177","2010/12",693600,1271.880005
"178","2011/1",692800,1306.669983
"179","2011/2",688200,1326.5249635
"180","2011/3",681300,1344.7199705
"181","2011/4",676000,1354.404968
"182","2011/5",673000,1332.919983
"183","2011/6",670700,1306.460022
"184","2011/7",669300,1255.585022
"185","2011/8",668700,1175.1550295
"186","2011/9",668500,1192.3600465
"187","2011/10",668400,1250.130005
"188","2011/11",669200,1252.2799685
"189","2011/12",671400,1285.005005
"190","2012/1",673300,1339.045044
"191","2012/2",675600,1387.0750125
"192","2012/3",679200,1403.1900025
"193","2012/4",683900,1354.119995
"194","2012/5",689500,1336.244995
"195","2012/6",697600,1370.73999
"196","2012/7",708300,1392.949951
"197","2012/8",719100,1423.625
"198","2012/9",729900,1426.415039
"199","2012/10",741500,1414.170044
"200","2012/11",752800,1421.1849975
"201","2012/12",762800,1462.149963
"202","2013/1",772900,1506.3950195
"203","2013/2",784100,1541.9349975
"204","2013/3",795800,1583.3799435
"205","2013/4",806900,1614.154968
"206","2013/5",818500,1618.5100095
"207","2013/6",833000,1646.0050045
"208","2013/7",848600,1659.3499755
"209","2013/8",862000,1657.26001
"210","2013/9",873900,1719.045044
"211","2013/10",885300,1781.175049
"212","2013/11",893900,1827.085022
"213","2013/12",901700,1815.4749755
"214","2014/1",910700,1821.0199585
"215","2014/2",920500,1865.8949585
"216","2014/3",931700,1878.1449585
"217","2014/4",943600,1903.7599485
"218","2014/5",953000,1941.899963
"219","2014/6",959700,1945.450012
"220","2014/7",963600,1967.0200195
"221","2014/8",966100,1987.830017
"222","2014/9",969100,1995.170044
"223","2014/10",974600,2042.805054
"224","2014/11",980900,2063.2299805
"225","2014/12",986100,2026.944946
"226","2015/1",989800,2049.744995
"227","2015/2",998000,2086.1949465
"228","2015/3",1014400,2076.6999515
"229","2015/4",1036900,2096.4499515
"230","2015/5",1057000,2085.25
"231","2015/6",1072700,2083.4750975
"232","2015/7",1087900,2038.010071
"233","2015/8",1103800,1946.1050415
"234","2015/9",1113300,1999.695068
"235","2015/10",1117600,2081.4700925
