SystemName,SystemCode,SchoolLongName,SchoolCode,County,County Code,SB District,Grade Low,Grade High,Elementary School,Middle School,Junior High School,High School,Title 1,PrincipalName,Address,City,State,Zip Code,Zip Code Plus 4,Phone,Fax,Email,Web Address,NCES ID Number
Autauga County,001,Autauga County Alternative School,0010,Autauga,001,05,03,12,Y,Y,Y,Y,Not Title 1,DARRYL PICKETT,153 W 4th St,Prattville,AL,36067,36067-3011,(334) 361-3833,(334) 361-3834,aaronb@autaugacountyschool.org,,00587
Autauga County,001,Autaugaville School,0015,Autauga,001,05,OK,12,Y,Y,Y,Y,School-wide,Lesia Robinson,PO Box 99,Autaugaville,AL,36003,36003-0099,(334) 365-8329,(334) 365-8043,jamesd@autaugacountyschool.org,,01408
Autauga County,001,Billingsley High School,0040,Autauga,001,05,OK,12,Y,Y,Y,Y,School-wide,Michael Blair,PO Box 118,Billingsley,AL,36006,36006-0118,(205) 755-1629,(205) 755-1633,mike.nixon@acboe.net,,00045
Autauga County,001,Louise M Smith Development Center,0045,Autauga,001,05,12,12,N,N,N,Y,Not Title 1,Sam Palomaria,PO Box 681952,Prattville,AL,36068,36068-1952,(334) 365-4054,(334) 365-2555,spalomaria@autaugacountyschool.org,,01550
Autauga County,001,Marbury High School,0050,Autauga,001,05,09,12,N,N,N,Y,Not Title 1,Donna Finch,2360 US Highway 31 N,Deatsville,AL,36022,36022-2831,(334) 387-1910,(334) 387-1920,donna.finch@acboe.net,www.marburyhighschool.org,00046
Autauga County,001,Marbury Middle School,0052,Autauga,001,05,07,08,N,Y,N,N,Not Title 1,Jerome Barrington,210 County Road 20 East,Marbury,AL,36022,36022-2831,(334) 365-3522,(205) 755-3168,jerome.barrington@acboe.net,marburymiddle.com,02159
Autauga County,001,Pine Level Elementary School,0055,Elmore,026,05,OK,05,Y,N,N,N,School-wide,Cathy Loftin,2040 US Highway 31 N,Deatsville,AL,36022,36022-9700,(334) 358-2658,(334) 358-2309,cathy.loftin@acboe.net,www.pinelevelelem.com,00543
Autauga County,001,Prattville Elementary School,0060,Autauga,001,05,03,04,Y,N,N,N,School-wide,Felissa Clemons,134 Patrick St,Prattville,AL,36067,36067-4499,(334) 361-3885,(334) 361-3835,felissa.clemons@acboe.net,www.pesbobcats.com,00047
Autauga County,001,Daniel Pratt Elementary School,0065,Autauga,001,05,01,06,Y,N,N,N,Not Title 1,Julie Harrington,420 Harvest Loop,Prattville,AL,36066,36066-6191,(334) 361-6400,(334) 358-2393,norm.kleinschmidt@acboe.net,autaugacountyschool.org,00546
Autauga County,001,Prattville Intermediate School,0070,Autauga,001,05,05,06,Y,N,N,N,Not Title 1,Angela Landry,1020 Honeysuckle Dr,Prattville,AL,36067,36067-6299,(334) 361-3880,(334) 361-3884,Angela.Landry@acboe.net,www.acboe.net,00050
Autauga County,001,Prattville Junior High School,0080,Autauga,001,05,07,08,N,Y,N,N,Not Title 1,Janice Stockman,1089 Martin Luther King Dr,Prattville,AL,36067,36067-1829,(334) 365-6697,(334) 361-3870,kenneth.childree@acboe.net,www.pjhscats.com,00049
Autauga County,001,Prattville Kindergarten School,0085,Autauga,001,05,OK,OK,Y,N,N,N,Not Title 1,Jodi Womble,338 1st St,Prattville,AL,36067,36067-3999,(334) 361-3890,(334) 361-3891,jodi.womble@acboe.net,prattvillekindergarten.com,01639
Autauga County,001,Prattville High School,0086,Autauga,001,05,09,12,N,N,N,Y,Not Title 1,Richard Dennis,1315 Upper Kingston Rd,Prattville,AL,36067,36067-6835,(334) 365-8804,(334) 358-0011,richard.dennis@acboe.net,www.gophslions.com,00048
Autauga County,001,Prattville Primary School,0090,Autauga,001,05,01,02,Y,N,N,N,School-wide,William Hollon,216 Wetumpka St,Prattville,AL,36067,36067-3198,(334) 365-6277,(334) 365-0116,billy.hollon@acboe.net,www.prattvilleprimary.com,00051
Autauga County,001,Autauga County Technology Center,6000,Autauga,001,05,09,12,N,N,N,Y,Not Title 1,,1301 Upper Kingston Rd,Prattville,AL,36067,36067-6850,(334) 361-0258,(334) 361-3839,brock.dunn@acboe.net,,00590
Baldwin County,002,Baldwin County High School,0005,Baldwin,002,01,09,12,N,N,N,Y,Not Title 1,Damion Smith,1 Tiger Dr,Bay Minette,AL,36507,36507-3300,(251) 937-2341,(251) 937-2933,jcabaniss@bcbe.org,www.baldwincountyhighschool.com,01810
Baldwin County,002,Bay Minette Intermediate School,0010,Baldwin,002,01,04,06,Y,N,N,N,School-wide,Albertnetta Hamilton,600 Blackburn Ave,Bay Minette,AL,36507,36507-3799,(251) 580-0678,(251) 937-0696,ahamilton@bcbe.org,www.bayminetteintermediate.com,00012
Baldwin County,002,Bay Minette Middle School,0012,Baldwin,002,01,07,08,N,Y,N,N,School-wide,Jerry Nobles,1311 W 13th St,Bay Minette,AL,36507,36507-3525,(251) 580-2960,(251) 580-5120,knobles@bcbe.org,www.bayminettemiddle.com,01859
Baldwin County,002,Bay Minette Elementary School,0015,Baldwin,002,01,PK,03,Y,N,N,N,School-wide,Zachary Wigstrom,800 Blackburn Ave,Bay Minette,AL,36507,36507-3798,(251) 937-7651,(251) 937-6983,ahale@bcbe.org,www.bayminetteelementary.com,01708
Baldwin County,002,Central Baldwin Middle School,0025,Baldwin,002,01,07,08,N,Y,N,N,School-wide,Phillip Fountain,PO Box 930,Robertsdale,AL,36567,36567-0930,(251) 947-2327,(251) 947-1949,cbms@gulftel.com,www.centralbaldwinmiddle.com,00162
Baldwin County,002,C.F. Taylor Alternative School,0027,Baldwin,002,01,0 ,0 ,N,N,N,N,Not Title 1,Donald Johnson,19150 Wilters St,Robertsdale,AL,36567,36567-6652,(251) 970-4415,(251) 970-4416,djohnson@bcbe.org,www.nonesupplied.com,02180
Baldwin County,002,Daphne High School,0035,Baldwin,002,01,09,12,N,N,N,Y,Not Title 1,Meredith Foster,9300 Champions Way,Daphne,AL,36526,36526-8090,(251) 626-8787,(251) 626-3024,mfoster@bcbe.org,www.daphnehs.com,01759
Baldwin County,002,Daphne Middle School,0037,Baldwin,002,01,07,08,N,Y,N,N,Not Title 1,Tiffany Irby,1 Jody Davis Cir,Daphne,AL,36526,36526-6109,(251) 626-2845,(251) 626-0025,thartner@bcbe.org,www.daphnemiddleschool.com,00013
Baldwin County,002,W J Carroll Intermediate School,0040,Baldwin,002,01,04,06,Y,N,N,N,School-wide,Dana Bottoms,1000 Main St,Daphne,AL,36526,36526-4415,(251) 626-0277,(251) 626-0488,dhorst@bcbe.org,www.wjcintermediate.com,00056
Baldwin County,002,Daphne Elementary School,0041,Baldwin,002,01,OK,03,Y,N,N,N,School-wide,Jonathan Ellis,2307 Main St,Daphne,AL,36526,36526-4620,(251) 626-2424,(251) 626-6054,jellis@bcbe.org,daphneelementary.com,01709
Baldwin County,002,Daphne East Elementary School,0042,Baldwin,002,01,OK,06,Y,N,N,N,Not Title 1,Mark Doherty,26651 County Road 13,Daphne,AL,36526,36526-0000,(251) 626-1663,(251) 625-2616,mdoherty@bcbe.org,www.daphneeast.org,02072
Baldwin County,002,Delta Elementary School,0045,Baldwin,002,01,PK,06,Y,N,N,N,School-wide,Keri Shofner,10251 Whitehouse Fork Road Ext,Bay Minette,AL,36507,36507-7007,(251) 937-3657,(251) 937-3637,kshofner@bcbe.org,www.delataelementary.com,01783
Baldwin County,002,Elberta Elementary School,0047,Baldwin,002,01,OK,03,Y,N,N,N,School-wide,Laura Moorer,PO Box 430,Elberta,AL,36530,36530-0430,(251) 986-5888,(251) 986-3664,hzeanah@bcbe.org,www.elbertaelementary.com,00625
Baldwin County,002,Elberta Middle School,0050,Baldwin,002,01,04,08,Y,Y,N,N,School-wide,Claude Eilert,13355 Main St,Elberta,AL,36530,36530-2403,(251) 986-8127,(251) 986-7472,cleilert@bcbe.org,www.elbertamiddle.com,00057
