"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10"
3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",1,161800,161700,161200,160700,160300,160000,160000,160300,160500,161000,162000,162700,162700,162700,162700,162800,163000,163700,164600,165300,166400,168000,169800,171200,172400,173500,174500,175400,176500,178100,179900,181700,183000,184000,185100,186300,187500,189000,190600,192000,193200,194400,195600,197300,199300,201400,203600,205700,207500,209200,210900,212700,214600,216200,217800,219500,221500,223800,226100,228300,230200,232000,233900,235700,237400,239200,241500,243900,246500,249500,252800,255900,259400,263600,267800,272400,277400,282200,286900,291900,297100,302200,307100,311600,316300,321200,325700,331000,337200,344000,350700,357500,364700,372500,380400,389000,398700,408900,419600,429800,438200,444800,450900,456600,462000,467400,473400,480200,487500,495000,503200,512500,522700,532300,540600,547900,553500,556700,559300,562100,564300,566100,568000,569000,568800,567700,565900,563600,561200,559400,558000,556100,553700,550700,546600,541900,537400,532700,528100,523100,516300,508000,499200,489600,479000,468700,458700,448400,438200,429900,423200,416900,411700,408700,406300,403300,400400,397400,394900,393400,392600,392200,392300,392900,394200,395500,396200,396600,397000,396800,395800,393900,392300,390300,387500,384800,383400,382500,380800,378500,376000,373300,370600,368200,366100,364500,363400,362600,361500,360600,360100,360400,361500,363500,365900,368700,371500,374400,377400,381300,385900,390800,396100,402300,409000,416200,424000,431700,438400,444600,450200,455200,459200,462600,465600,469000,472600,475600,477000,477900,479200,480200,481200,482500,483700,484800,487400,490600,493400,495400,498000,501000,504100,506800,509000
139,"Cook","IL","Chicago","17","031",2,126400,126700,126500,126100,125800,125800,125900,126100,126200,126500,126900,127200,127200,127000,127000,127200,127500,128000,128400,128800,129300,130000,130600,131000,131000,131300,131700,132200,132600,133100,133700,134600,135200,135600,136500,137300,138100,139100,140000,140800,141700,142700,143800,145000,146000,147300,148800,150300,151500,152600,153600,154700,155800,157000,158000,159200,160900,162500,163700,164800,166300,167900,169300,170400,171400,173000,174900,176600,178300,179900,181300,182700,184000,184300,184200,184700,185900,187100,188400,189600,190800,191700,192900,194600,196400,199300,203800,207700,209700,210700,210700,210700,211000,212100,213400,214600,216100,217600,218900,220700,223000,225000,226600,228400,230100,231800,233400,235100,236700,238200,239700,241300,242700,244300,246200,248000,249400,250800,252200,253400,254300,255000,255200,255300,255300,255400,255800,256500,256700,256900,257000,256700,256000,255300,254300,253300,252400,251800,251500,251100,250100,248600,247100,245100,243000,241100,238700,235800,233700,232000,230000,227500,225800,224500,223000,221600,220500,218700,217000,215500,213900,212600,211800,211200,210500,209500,207700,205600,204000,202900,201600,200000,198500,196600,193900,191200,188500,185700,184300,183700,182000,179400,177000,174900,173300,171600,169500,167700,166300,165100,163600,162800,162800,163200,163400,163500,163100,162700,162500,162700,163300,164100,165100,166100,166700,167900,170200,172800,174500,176000,178300,180500,182100,184100,186200,186900,186400,185300,184300,184000,184500,185200,185800,186400,186500,186100,185600,185300,186000,188000,190200,191800,192700,193600,194500
1090,"Harris","TX","Houston","48","201",3,72600,72600,72500,72400,72300,72200,72400,72700,73100,73900,75100,76000,76800,77600,78500,79400,80100,80300,80400,80700,81100,81300,81500,81800,82000,82200,82500,82800,83400,84100,84800,85400,86100,86800,87700,88600,89700,90600,91500,92400,93100,93800,94200,94400,94600,94700,94100,93500,93400,93200,93000,93300,93800,94600,95300,95900,96400,96400,96100,95800,95800,96000,96100,96200,96300,96600,97300,97700,98200,98700,99300,99800,100100,100300,100900,101800,102700,103600,104300,104900,105400,105600,106100,106700,107400,107900,108100,108100,108200,108100,108300,108700,109700,111300,113300,115300,117300,119200,120900,122200,123100,123700,124100,124500,124800,125200,125700,126200,126400,126600,126900,127200,127600,127600,127400,127300,127500,128100,128700,129300,129900,130500,131000,131600,132000,132200,132700,133200,133500,133600,133800,134300,134600,134600,134900,135000,135000,135200,135600,136000,135700,134200,131700,129400,127200,125200,123800,123200,123800,125000,126100,127100,128400,129400,130400,131500,132600,133300,133400,132900,132100,131300,130900,130600,129700,128300,127900,128600,128700,129000,129200,128600,127900,127800,127000,125900,125400,127000,126500,123200,121800,122600,123000,124800,126700,126500,126200,126000,125500,125500,127100,128900,130100,130400,131100,132200,132200,130400,129600,131400,133300,133900,134900,136800,138500,140400,141300,139800,139000,141500,143800,143100,141900,142100,142900,143000,141900,140400,140100,140200,140500,141300,141900,142800,144500,145700,146400,148000,150200,151600,152300,153200,154100,154600,154900
2402,"Maricopa","AZ","Phoenix","04","013",4,106800,106900,107200,107700,108200,108500,108800,109100,109400,110100,111000,111600,112100,112700,113200,113200,113400,114000,114400,114600,115300,116100,116600,117000,117300,117800,118800,119600,119800,120100,120600,121100,121700,122400,123100,124000,124900,125600,126100,126600,127300,128100,128900,129600,130600,131400,132200,133100,133900,134100,134000,134300,135000,135600,135900,136200,136700,137400,138100,138800,139400,139800,140200,140700,140900,140900,141200,141900,142500,143300,144200,145100,145700,146200,146800,147400,148100,148700,149500,150400,151300,152300,152900,153300,153700,154600,155600,156400,156800,157400,158200,159200,160100,161200,162700,164100,165400,166900,168700,171000,174300,178300,182500,187300,192200,197100,202600,209700,218100,227500,237400,247000,255900,263700,270200,275100,278600,280600,281500,281800,281600,281300,280400,279200,277700,275900,274400,273000,271000,268800,266600,264400,262300,260400,258500,256700,254800,253100,251500,249200,245900,241800,237200,232600,228100,223900,219800,216000,212200,208200,203700,199200,196400,195300,193100,189800,186500,182900,179300,176200,173600,171200,169000,167200,165500,164000,162600,161000,159400,157400,154900,151900,148600,145600,143000,140800,139100,138500,139500,140800,140900,140200,139400,138600,138200,138500,139400,141000,143100,145000,147000,149200,151400,153800,156700,160100,163500,167100,170300,172800,174300,175600,177000,179200,182500,186300,190600,194500,197900,199100,199500,200200,201000,200500,200100,199800,200100,200300,200400,200700,201100,201900,203300,204900,206200,207300,208200,209000,209600,210800,212200,213400,214800,217000,219100
2841,"San Diego","CA","San Diego","06","073",5,164100,163900,163600,163300,163000,162600,162300,162100,162300,163200,164200,164600,164700,165500,166200,166700,167600,169000,170300,171800,173500,175600,177700,179700,181400,182600,183600,185000,186600,187900,189600,191700,193600,195000,196800,199000,201000,202800,204800,206800,208700,210700,212900,215300,217700,220700,224000,227200,230300,233800,237300,240400,243100,245900,248800,251700,254600,257500,260500,263500,266100,268300,270600,273300,276000,278900,281500,284100,287200,290900,294700,298500,302500,307400,313000,319200,325800,332200,338500,344600,350100,354700,359200,363600,367800,371300,374700,378900,384500,390900,398500,407000,415800,424800,433900,443400,454400,467200,480400,492400,501900,509300,514800,519100,522300,525100,527600,530100,532100,533400,534300,535300,536500,537800,538400,538200,537500,537200,537100,536900,536800,536000,533100,529300,525600,522000,518400,516000,514300,513100,512500,511100,507800,503600,499600,495700,491100,485900,481000,476000,469800,462200,453200,443500,435000,427900,421300,414600,408100,401800,395500,388800,383600,380300,377700,374900,372100,369600,368400,368300,369100,370900,372700,374600,376700,378200,379000,380000,381100,381800,381300,379800,378100,375900,373200,370600,367800,364500,361800,359800,357700,354900,352300,350500,349200,348300,347800,347700,347800,348200,349300,350600,351800,353700,356800,359800,363100,367200,371100,374800,379000,384000,389800,396900,404700,412500,420300,427400,433000,437000,441600,446100,450300,453200,454500,455400,457700,459500,459700,459400,459400,460300,462000,465000,468400,471700,475000,477900,479500,480900,482300,484200,486300,489100,491700
1286,"Orange","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",6,198900,199300,200000,200700,202000,203100,203500,203300,203500,204200,205000,205000,204600,204800,205700,206600,207600,209100,210900,213000,215400,218100,220000,224700,,,,231800,236900,238400,240300,242400,245100,247600,250100,252300,253900,255700,257500,257400,257000,258600,261600,264300,266800,269900,273200,276200,279100,282500,285000,287000,289400,292700,295800,298700,301800,305500,309200,312800,316500,319800,321700,323800,326900,329900,332100,335000,339100,342800,345800,348700,352800,358000,363900,369700,376200,383400,391000,398200,404700,410600,416500,422000,426900,431300,435700,440700,446900,454500,463500,473500,483100,493300,504700,517800,532500,548700,565000,580000,591700,599300,604400,607900,610000,611600,614800,619800,626100,633500,641200,649200,657400,666000,674900,683000,689100,694600,698900,701800,703400,703200,700200,696600,693700,690600,687200,684400,681900,679600,678000,676300,673000,668300,663800,659300,652400,643800,635700,628300,621500,614300,605000,593000,581000,569800,559800,551600,545800,540700,535700,530900,527400,524400,520900,517600,514500,512100,511400,512000,513200,515200,515800,515100,514600,514300,514000,513500,512400,511000,508900,505100,501200,498200,496100,494000,491600,488500,485500,482800,480300,478200,476200,473900,471400,469500,467700,466400,465600,465100,465000,465700,467500,470100,472800,475600,479000,482700,486600,491100,497000,504100,512300,522200,533300,545000,556200,565200,571900,577300,583900,590300,593800,596000,598800,601700,603700,604500,603600,602300,601400,601200,601900,603600,605400,607700,611000,614100,617100,616700,617000,621200,627200,630700,633900
581,"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393300,396400,395900,393600,392800,395900,393200,386400,385100,390400,395000,394700,387000,379900,386400,401000,406000,399200,390500,386500,390000,398700,404600,409900,417500,425000,429600,431900,436000,442900,447800,448700,450200,452500,453700,456000,461100,467100,470300,471300,474200,478900,479300,477500,477600,480600,483300,485700,485800,485100,484000,483600,484500,486900,488200,487000,482900,478400,471800,464800,461700,461100,457200,451000,445200,440000,435100,431000,429000,428000,427800,429200,432000,435600,439300,441800,443200,445400,447300,448300,449000,450300,452000,453800,454200,453700,454400,455000,454100,452300,451700,452600,454700,456100,456100,455700,456100,456500,457200,458400,460200,462500,464200,465500,468100,472100,476600,480300,482100,483200,485200,487000,489200,492400,496500,501100,505400,509900,515800,521800,524700,526800,529300,537000,550100,562800,569900,574600,577200,578300,581100,586700,593100,596500,596600,594300,594100,598200,604500,611400,619100,627500,634700
2964,"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,96300,96200,95900,96000,96100,96200,96300,96400,96400,96900,97700,98100,98300,98600,99200,99800,100400,100800,100800,100900,101200,101600,102100,102200,102600,103500,103800,103500,103800,104200,104600,104900,105100,105200,105600,106500,107200,107500,107900,108200,108200,108500,109400,110100,110900,111700,112400,112800,113200,113800,114700,115600,116500,117300,118100,118900,119700,120500,121500,122600,124000,125400,126800,128400,129900,131200,132700,134300,135900,137800,139500,140900,142000,143200,144600,146400,148200,150200,152100,154000,156000,157900,159700,161800,163900,165800,167700,169500,171500,173700,176000,178200,180800,183500,186200,188900,191900,195400,199200,202900,206900,211100,215400,220000,224300,228900,234300,240400,246500,252400,258400,264700,271100,277000,282600,287800,292300,295700,299400,304000,308800,312800,315700,317900,319500,320500,321500,322700,323600,324700,325400,325400,324500,323100,321800,320300,318400,316000,312800,308900,305400,302100,297400,291000,284000,276400,268600,260900,252900,244200,235800,228000,220700,214000,207300,200100,193600,188800,184800,181100,178600,177400,176000,174100,172200,170000,168000,166400,165000,163900,162800,161600,160000,158000,156300,155500,154900,154400,153900,153700,153400,152700,151900,151400,151100,151400,151800,151900,152000,152700,153800,155500,157500,159000,160400,161800,163400,164800,166000,167200,168700,170400,172300,174300,176500,179200,182000,184600,186100,187800,191000,194500,197300,200100,203100,205900,208400,210500,212200,213800,215600,217200,218800,220700,222800,224200,225200,226400,227900,229700,231900,234400,236800,239300,241200
978,"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,79200,79200,79300,79400,79600,79800,80300,80900,81300,81800,82500,82900,83300,83600,83800,83900,84100,84400,84600,84700,85200,85700,86200,86800,87400,88400,89400,90300,91300,92400,93100,93600,94200,94800,95500,95900,95900,95800,95800,96000,96500,96800,97200,98000,98700,99300,100000,100500,100800,100900,101200,101500,102100,102700,103100,103600,104000,104500,104900,105300,105700,106500,107000,107700,108300,108900,109400,110100,110600,111400,112100,112800,113300,113400,113300,113300,113000,112800,112900,113000,113100,113300,113700,114600,116000,117900,119800,121300,122100,122700,123300,123700,124000,124100,124400,124800,125200,125400,125800,126100,126500,126600,126500,126500,126600,126600,126600,126700,126900,127100,127300,127600,127900,128300,128900,129500,129600,129600,129600,129700,129900,130000,129900,130200,130500,130700,130900,131000,131200,131400,131000,129700,127900,126100,124400,122700,121200,120000,119000,118100,117200,116300,115500,114900,114200,113400,112300,111100,110400,110200,109700,109100,109000,108700,108500,108700,108800,108600,108400,108600,108500,108000,107500,107000,106700,106600,106400,105900,105600,105600,105300,104600,103900,103500,102800,102100,101400,100900,100500,100300,100100,100100,100300,100700,101200,101500,102000,102700,103300,104000,104700,105300,106200,107200,108300,109600,110600,111600,112700,113900,114800,115300,116200,117300,117800,118400,119300,120100,120700,121300,121700,122200,123100,124700,126400,127800,129400,131100,132600,134600,136600,138300,140000,141600,142400
1347,"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376500,382700,387500,389500,391300,394700,391600,386100,385700,391400,396100,398800,391100,375300,365700,368900,376400,383300,384500,381600,381900,387800,393800,400700,408600,417100,425000,431200,436600,442600,444900,444300,446700,452700,457500,461700,466100,471000,474700,476100,476500,477300,475600,472000,470000,469200,467300,465200,464100,464700,465200,462900,458500,453700,447800,440800,435000,431500,427300,422400,418200,414400,409900,405100,400700,397000,393700,390500,387400,384300,381900,380200,379700,380700,382000,382400,382600,383600,384700,385300,385400,385300,385000,384100,383100,382700,382700,382700,382900,382200,380700,379200,378000,376000,373800,371900,370700,369800,369200,369000,369500,370400,371900,373400,374300,374700,375600,376900,378500,380300,381700,382800,384200,386600,389000,390900,392900,395500,398000,400700,403400,406200,409000,411900,413000,411300,408800,408500,411100,415000,418900,422100,423800,423600,423500,423900,424100,424800,427400,431000,433500,435200,436500,437300
